day,image,pull_count
2021-08-03,marquezproject/marquez,392561
2021-08-03,marquezproject/marquez-web,167186
2021-08-02,marquezproject/marquez,392225
2021-08-02,marquezproject/marquez-web,167148
2021-08-01,marquezproject/marquez,391915
2021-08-01,marquezproject/marquez-web,167120
2021-07-31,marquezproject/marquez,391586
2021-07-31,marquezproject/marquez-web,167087
2021-07-30,marquezproject/marquez,391234
2021-07-30,marquezproject/marquez-web,167056
2021-07-29,marquezproject/marquez,390868
2021-07-29,marquezproject/marquez-web,167005
2021-07-28,marquezproject/marquez,390538
2021-07-28,marquezproject/marquez-web,166967
2021-07-27,marquezproject/marquez,390205
2021-07-27,marquezproject/marquez-web,166934
2021-07-26,marquezproject/marquez,389887
2021-07-26,marquezproject/marquez-web,166901
2021-07-25,marquezproject/marquez,389566
2021-07-25,marquezproject/marquez-web,166870
2021-07-24,marquezproject/marquez,389261
2021-07-24,marquezproject/marquez-web,166849
2021-07-23,marquezproject/marquez,388939
2021-07-23,marquezproject/marquez-web,166814
2021-07-22,marquezproject/marquez,388609
2021-07-22,marquezproject/marquez-web,166769
2021-07-21,marquezproject/marquez,388284
2021-07-21,marquezproject/marquez-web,166729
2021-07-20,marquezproject/marquez,387965
2021-07-20,marquezproject/marquez-web,166694
2021-07-19,marquezproject/marquez,387648
2021-07-19,marquezproject/marquez-web,166662
2021-07-18,marquezproject/marquez,387332
2021-07-18,marquezproject/marquez-web,166639
2021-07-17,marquezproject/marquez,387027
2021-07-17,marquezproject/marquez-web,166616
2021-07-16,marquezproject/marquez,386693
2021-07-16,marquezproject/marquez-web,166577
2021-07-15,marquezproject/marquez,386383
2021-07-15,marquezproject/marquez-web,166552
2021-07-14,marquezproject/marquez,386044
2021-07-14,marquezproject/marquez-web,166506
2021-07-13,marquezproject/marquez,385701
2021-07-13,marquezproject/marquez-web,166453
2021-07-12,marquezproject/marquez,385324
2021-07-12,marquezproject/marquez-web,166385
2021-07-11,marquezproject/marquez,385007
2021-07-11,marquezproject/marquez-web,166358
2021-07-10,marquezproject/marquez,384701
2021-07-10,marquezproject/marquez-web,166336
2021-07-09,marquezproject/marquez,384378
2021-07-09,marquezproject/marquez-web,166303
2021-07-08,marquezproject/marquez,384049
2021-07-08,marquezproject/marquez-web,166265
2021-07-07,marquezproject/marquez,383739
2021-07-07,marquezproject/marquez-web,166243
2021-07-06,marquezproject/marquez,383425
2021-07-06,marquezproject/marquez-web,166213
2021-07-05,marquezproject/marquez,383044
2021-07-05,marquezproject/marquez-web,166146
2021-07-04,marquezproject/marquez,382741
2021-07-04,marquezproject/marquez-web,166124
2021-07-03,marquezproject/marquez,382434
2021-07-03,marquezproject/marquez-web,166102
2021-07-02,marquezproject/marquez,382104
2021-07-02,marquezproject/marquez-web,166056
2021-07-01,marquezproject/marquez,381750
2021-07-01,marquezproject/marquez-web,165998
2021-06-30,marquezproject/marquez,381240
2021-06-30,marquezproject/marquez-web,165962
2021-06-29,marquezproject/marquez,380908
2021-06-29,marquezproject/marquez-web,165932
2021-06-28,marquezproject/marquez,380534
2021-06-28,marquezproject/marquez-web,165869
2021-06-27,marquezproject/marquez,380218
2021-06-27,marquezproject/marquez-web,165851
2021-06-26,marquezproject/marquez,379903
2021-06-26,marquezproject/marquez-web,165824
2021-06-25,marquezproject/marquez,379555
2021-06-25,marquezproject/marquez-web,165778
2021-06-24,marquezproject/marquez,379246
2021-06-24,marquezproject/marquez-web,165752
2021-06-23,marquezproject/marquez,378903
2021-06-23,marquezproject/marquez-web,165709
2021-06-22,marquezproject/marquez,378509
2021-06-22,marquezproject/marquez-web,165678
2021-06-21,marquezproject/marquez,378149
2021-06-21,marquezproject/marquez-web,165641
2021-06-20,marquezproject/marquez,377794
2021-06-20,marquezproject/marquez-web,165597
2021-06-19,marquezproject/marquez,377414
2021-06-19,marquezproject/marquez-web,165548
2021-06-18,marquezproject/marquez,376769
2021-06-18,marquezproject/marquez-web,165370
2021-06-17,marquezproject/marquez,376410
2021-06-17,marquezproject/marquez-web,165304
2021-06-16,marquezproject/marquez,376038
2021-06-16,marquezproject/marquez-web,165228
2021-06-15,marquezproject/marquez,305790
2021-06-15,marquezproject/marquez-web,95245
2021-06-14,marquezproject/marquez,201281
2021-06-14,marquezproject/marquez-web,5799
2021-06-13,marquezproject/marquez,200974
2021-06-13,marquezproject/marquez-web,5759
2021-06-12,marquezproject/marquez,200663
2021-06-12,marquezproject/marquez-web,5724
2021-06-11,marquezproject/marquez,200248
2021-06-11,marquezproject/marquez-web,5631
2021-06-10,marquezproject/marquez,199900
2021-06-10,marquezproject/marquez-web,5581
2021-06-09,marquezproject/marquez,199528
2021-06-09,marquezproject/marquez-web,5525
2021-06-08,marquezproject/marquez,199160
2021-06-08,marquezproject/marquez-web,5451
2021-06-07,marquezproject/marquez,198832
2021-06-07,marquezproject/marquez-web,5383
2021-06-06,marquezproject/marquez,198535
2021-06-06,marquezproject/marquez-web,5354
2021-06-05,marquezproject/marquez,198225
2021-06-05,marquezproject/marquez-web,5315
2021-06-04,marquezproject/marquez,197849
2021-06-04,marquezproject/marquez-web,5251
2021-06-03,marquezproject/marquez,197536
2021-06-03,marquezproject/marquez-web,5219
2021-06-02,marquezproject/marquez,197200
