day,project,stars
2021-05-21,OpenLineage/openlineage,260
2021-05-22,OpenLineage/openlineage,261
2021-05-23,OpenLineage/openlineage,265
2021-05-24,OpenLineage/openlineage,266
2021-05-25,OpenLineage/openlineage,269
2021-05-26,OpenLineage/openlineage,274
2021-05-27,OpenLineage/openlineage,277
2021-05-28,OpenLineage/openlineage,279
2021-05-29,OpenLineage/openlineage,282
2021-05-30,OpenLineage/openlineage,282
2021-05-31,OpenLineage/openlineage,287
2021-06-01,OpenLineage/openlineage,288
2021-06-02,OpenLineage/openlineage,291
2021-06-03,OpenLineage/openlineage,296
2021-06-04,OpenLineage/openlineage,297
2021-06-05,OpenLineage/openlineage,297
2021-06-06,OpenLineage/openlineage,298
2021-06-07,OpenLineage/openlineage,301
2021-06-08,OpenLineage/openlineage,301
2021-06-09,OpenLineage/openlineage,305
2021-06-10,OpenLineage/openlineage,306
2021-06-11,OpenLineage/openlineage,306
2021-06-12,OpenLineage/openlineage,306
2021-06-13,OpenLineage/openlineage,306
2021-06-14,OpenLineage/openlineage,306
2021-06-15,OpenLineage/openlineage,309
2021-06-16,OpenLineage/openlineage,312
2021-06-17,OpenLineage/openlineage,312
2021-06-18,OpenLineage/openlineage,315
2021-06-19,OpenLineage/openlineage,318
2021-06-20,OpenLineage/openlineage,321
2021-06-21,OpenLineage/openlineage,323
2021-06-22,OpenLineage/openlineage,325
2021-06-23,OpenLineage/openlineage,329
2021-06-24,OpenLineage/openlineage,330
2021-06-25,OpenLineage/openlineage,333
2021-06-26,OpenLineage/openlineage,333
2021-06-27,OpenLineage/openlineage,333
2021-06-28,OpenLineage/openlineage,333
2021-06-29,OpenLineage/openlineage,333
2021-06-30,OpenLineage/openlineage,334
2021-07-01,OpenLineage/openlineage,336
2021-07-02,OpenLineage/openlineage,337
2021-07-03,OpenLineage/openlineage,339
2021-07-04,OpenLineage/openlineage,339
2021-07-05,OpenLineage/openlineage,339
2021-07-06,OpenLineage/openlineage,340
2021-07-07,OpenLineage/openlineage,341
2021-07-08,OpenLineage/openlineage,344
2021-07-09,OpenLineage/openlineage,344
2021-07-10,OpenLineage/openlineage,345
2021-07-11,OpenLineage/openlineage,346
2021-07-12,OpenLineage/openlineage,347
2021-07-13,OpenLineage/openlineage,348
2021-07-14,OpenLineage/openlineage,350
2021-07-15,OpenLineage/openlineage,350
2021-07-16,OpenLineage/openlineage,353
2021-07-17,OpenLineage/openlineage,353
2021-07-18,OpenLineage/openlineage,353
2021-07-19,OpenLineage/openlineage,355
2021-07-20,OpenLineage/openlineage,359
2021-07-21,OpenLineage/openlineage,360
2021-07-22,OpenLineage/openlineage,363
2021-07-23,OpenLineage/openlineage,365
2021-07-24,OpenLineage/openlineage,367
2021-07-25,OpenLineage/openlineage,368
2021-07-26,OpenLineage/openlineage,378
2021-07-27,OpenLineage/openlineage,380
2021-07-28,OpenLineage/openlineage,382
2021-07-29,OpenLineage/openlineage,385
2021-07-30,OpenLineage/openlineage,386
2021-07-31,OpenLineage/openlineage,386
2021-08-01,OpenLineage/openlineage,388
2021-08-02,OpenLineage/openlineage,389
2021-08-03,OpenLineage/openlineage,393
2021-08-04,OpenLineage/openlineage,393
2021-08-05,OpenLineage/openlineage,395
2021-08-06,OpenLineage/openlineage,397
2021-08-07,OpenLineage/openlineage,398
2021-08-08,OpenLineage/openlineage,398
2021-08-09,OpenLineage/openlineage,398
2021-08-10,OpenLineage/openlineage,398
2021-08-11,OpenLineage/openlineage,401
2021-08-12,OpenLineage/openlineage,403
2021-08-13,OpenLineage/openlineage,407
2021-08-14,OpenLineage/openlineage,410
2021-08-15,OpenLineage/openlineage,414
2021-08-16,OpenLineage/openlineage,418
2021-08-17,OpenLineage/openlineage,425
2021-08-18,OpenLineage/openlineage,427
2021-08-19,OpenLineage/openlineage,431
2021-08-20,OpenLineage/openlineage,433
2021-08-21,OpenLineage/openlineage,433
2021-08-22,OpenLineage/openlineage,433
2021-08-23,OpenLineage/openlineage,436
2021-08-24,OpenLineage/openlineage,436
2021-08-25,OpenLineage/openlineage,437
2021-08-26,OpenLineage/openlineage,438
2021-08-27,OpenLineage/openlineage,442
2021-08-28,OpenLineage/openlineage,442
2021-08-29,OpenLineage/openlineage,443
2021-08-30,OpenLineage/openlineage,443
2021-08-31,OpenLineage/openlineage,447
2021-09-01,OpenLineage/openlineage,447
2021-09-02,OpenLineage/openlineage,449
2021-09-03,OpenLineage/openlineage,452
2021-09-04,OpenLineage/openlineage,456
2021-09-05,OpenLineage/openlineage,459
2021-09-16,MarquezProject/marquez,771
2021-09-22,MarquezProject/marquez,780
2021-09-27,MarquezProject/marquez,784
2021-09-28,MarquezProject/marquez,786
2021-09-29,MarquezProject/marquez,788
2021-10-01,MarquezProject/marquez,791
2021-10-12,MarquezProject/marquez,801
2021-10-12,MarquezProject/marquez,802
2021-10-14,MarquezProject/marquez,804
2021-10-18,MarquezProject/marquez,807
2021-10-18,MarquezProject/marquez,808
2021-09-15,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-13,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-14,MarquezProject/marquez,769
2021-09-15,MarquezProject/marquez,769
2021-09-15,MarquezProject/marquez,769
2021-09-15,MarquezProject/marquez,769
2021-09-16,MarquezProject/marquez,770
2021-09-16,MarquezProject/marquez,770
2021-09-16,MarquezProject/marquez,773
2021-09-17,MarquezProject/marquez,773
2021-09-17,MarquezProject/marquez,773
2021-09-17,MarquezProject/marquez,774
2021-09-17,MarquezProject/marquez,774
