day,domain,messages
2021-08-16,marquezproject,7
2021-07-21,marquezproject,8
2021-06-29,marquezproject,8
2021-06-16,marquezproject,8
2021-08-24,marquezproject,9
2021-07-05,marquezproject,9
2021-05-07,marquezproject,9
2021-08-27,marquezproject,10
2021-08-26,marquezproject,10
2021-08-20,marquezproject,10
2021-07-22,marquezproject,10
2021-08-19,marquezproject,11
2021-07-06,marquezproject,12
2021-07-26,marquezproject,13
2021-06-17,marquezproject,13
2021-08-17,marquezproject,14
2021-08-11,marquezproject,14
2021-05-06,marquezproject,14
2021-04-09,marquezproject,14
2021-06-22,marquezproject,15
2021-09-02,marquezproject,16
2021-07-15,marquezproject,17
2021-08-25,marquezproject,21
2021-05-21,marquezproject,23
2021-07-14,marquezproject,36
2021-08-18,marquezproject,38
